iter	Passed	Remaining
482	643	688
483	644	686
484	645	685
485	650	687
486	651	686
487	652	684
488	653	682
489	653	680
490	654	678
491	655	676
492	656	674
493	656	672
494	657	670
495	658	668
496	658	666
497	660	665
498	661	664
499	663	663
500	666	663
501	666	661
502	667	659
503	668	657
504	668	655
505	669	653
506	670	651
507	670	649
508	671	647
509	672	645
510	672	643
511	673	642
512	674	640
513	677	640
514	678	638
515	680	637
516	681	636
517	683	635
518	684	634
519	684	632
520	685	630
521	686	628
522	686	626
523	687	624
524	688	623
525	691	623
526	692	621
527	694	620
528	694	618
529	695	616
530	696	614
531	696	613
532	697	611
533	698	609
534	699	607
535	700	606
536	700	604
537	701	602
538	701	600
539	702	598
540	704	597
541	705	595
542	706	594
543	708	593
544	708	591
545	709	590
546	710	588
547	711	586
548	711	584
549	712	582
550	713	581
551	713	579
552	714	577
553	715	575
554	715	574
555	716	572
556	717	570
557	719	569
558	720	568
559	721	566
560	722	565
561	723	563
562	723	561
563	724	560
564	725	558
565	725	556
566	726	554
567	727	553
568	727	551
569	728	549
570	729	547
571	729	546
572	730	544
573	731	542
574	732	541
575	734	540
576	735	538
577	736	537
578	737	536
579	737	534
580	738	532
581	739	531
582	739	529
583	740	527
584	741	525
585	741	524
586	742	522
587	743	520
588	743	519
589	744	517
590	745	515
591	745	514
592	747	512
593	748	511
594	750	510
595	751	509
596	752	508
597	753	506
598	754	504
599	754	503
600	755	501
601	756	499
602	756	498
603	757	496
604	758	495
605	758	493
606	759	491
607	760	490
608	760	488
609	762	487
610	763	486
611	764	484
612	766	483
613	766	482
614	767	480
615	768	478
616	768	477
617	769	475
618	770	474
619	770	472
620	771	470
621	772	469
622	772	467
623	773	466
624	774	464
625	774	462
626	775	461
627	776	460
628	778	459
629	779	457
630	780	456
631	781	455
632	782	453
633	782	451
634	783	450
635	784	448
636	784	447
637	785	445
638	786	444
639	786	442
640	787	441
641	788	439
642	788	438
643	789	436
644	790	434
645	791	433
646	793	432
647	794	431
648	795	430
649	796	428
650	797	427
651	797	425
652	798	424
653	799	422
654	799	421
655	800	419
656	801	418
657	801	416
658	802	415
659	803	413
660	803	412
661	804	410
662	805	409
663	806	408
664	807	406
665	808	405
666	809	404
667	810	402
668	811	401
669	811	399
670	812	398
671	813	396
672	813	395
673	814	393
674	815	392
675	815	391
676	816	389
677	817	388
678	817	386
679	818	385
680	819	383
681	820	382
682	822	381
683	823	380
684	825	379
685	825	377
686	826	376
687	827	375
688	827	373
689	828	372
690	828	370
691	829	369
692	830	367
693	830	366
694	831	364
695	832	363
696	832	362
697	833	360
698	834	359
699	835	358
700	837	357
701	838	355
702	839	354
703	841	353
704	841	352
705	842	350
706	843	349
707	843	348
708	844	346
709	845	345
710	845	343
711	846	342
712	847	341
713	847	339
714	848	338
715	849	336
716	851	336
717	852	334
718	853	333
719	854	332
720	855	331
721	856	329
722	857	328
723	857	327
724	858	325
725	859	324
726	859	322
727	860	321
728	861	320
729	861	318
730	862	317
731	863	316
732	863	314
733	865	313
734	866	312
735	867	311
736	869	310
737	870	308
738	870	307
739	871	306
740	871	304
741	872	303
742	873	302
743	873	300
744	874	299
745	875	298
746	875	296
747	876	295
748	877	293
749	877	292
750	878	291
751	880	290
752	881	289
753	882	287
754	884	286
755	884	285
756	885	284
757	886	282
758	886	281
759	887	280
760	888	279
761	889	277
762	889	276
763	890	275
764	891	273
765	891	272
766	892	271
767	893	269
768	894	268
769	895	267
770	896	266
771	897	265
772	898	263
773	899	262
774	899	261
775	900	259
776	901	258
777	901	257
778	902	256
779	903	254
780	903	253
781	904	252
782	905	251
783	906	249
784	907	248
785	908	247
786	910	246
787	912	245
788	914	244
789	915	243
790	916	242
791	917	240
792	918	239
793	919	238
794	920	237
795	921	236
796	922	234
797	924	233
798	927	233
799	929	232
800	931	231
801	932	230
802	933	228
803	934	227
804	935	226
805	935	225
806	936	224
807	938	222
808	940	222
809	942	221
810	943	219
811	944	218
812	945	217
813	947	216
814	948	215
815	949	214
816	950	212
817	951	211
818	952	210
819	954	209
820	956	208
821	959	207
822	960	206
823	962	205
824	963	204
825	965	203
826	966	202
827	967	201
828	971	200
829	973	199
830	974	198
831	975	197
832	977	195
833	978	194
834	980	193
835	982	192
836	984	191
837	985	190
838	988	189
839	989	188
840	991	187
841	994	186
842	996	185
843	997	184
844	999	183
845	1001	182
846	1003	181
847	1005	180
848	1006	178
849	1007	177
850	1008	176
851	1009	175
852	1010	174
853	1011	172
854	1012	171
855	1015	170
856	1016	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1024	161
864	1025	159
865	1026	158
866	1027	157
867	1029	156
868	1031	155
869	1033	154
870	1035	153
871	1036	152
872	1037	150
873	1038	149
874	1039	148
875	1040	147
876	1041	146
877	1042	144
878	1045	143
879	1046	142
880	1048	141
881	1049	140
882	1050	139
883	1051	138
884	1052	136
885	1053	135
886	1054	134
887	1054	133
888	1055	131
889	1061	131
890	1065	130
891	1066	129
892	1067	127
893	1067	126
894	1068	125
895	1069	124
896	1070	122
897	1070	121
898	1071	120
899	1071	119
900	1072	117
901	1073	116
902	1075	115
903	1075	114
904	1077	113
905	1078	111
906	1078	110
907	1079	109
908	1080	108
909	1081	106
910	1081	105
911	1082	104
912	1083	103
913	1084	102
914	1084	100
915	1085	99
916	1086	98
917	1086	97
918	1087	95
919	1088	94
920	1090	93
921	1091	92
922	1092	91
923	1093	89
924	1094	88
925	1095	87
926	1095	86
927	1096	85
928	1097	83
929	1098	82
930	1098	81
931	1099	80
932	1100	79
933	1101	77
934	1101	76
935	1102	75
936	1103	74
937	1105	73
938	1106	71
939	1107	70
940	1108	69
941	1109	68
942	1110	67
943	1111	65
944	1111	64
945	1112	63
946	1113	62
947	1114	61
948	1115	59
949	1116	58
950	1117	57
951	1119	56
952	1120	55
953	1122	54
954	1124	52
955	1126	51
956	1127	50
957	1128	49
958	1129	48
959	1130	47
960	1132	45
961	1134	44
962	1136	43
963	1137	42
964	1138	41
965	1139	40
966	1140	38
967	1141	37
968	1142	36
969	1142	35
970	1143	34
971	1144	32
972	1144	31
973	1145	30
974	1146	29
975	1147	28
976	1149	27
977	1150	25
978	1151	24
979	1152	23
980	1153	22
981	1153	21
982	1154	19
983	1155	18
984	1155	17
985	1156	16
986	1157	15
987	1157	14
988	1158	12
989	1159	11
990	1159	10
991	1160	9
992	1161	8
993	1162	7
994	1163	5
995	1164	4
996	1165	3
997	1166	2
998	1167	1
999	1167	0
